code,name
FEF,TSI铁矿石
IN,印度Nifty 50
CN,A50
NK,日经225
JB,小型日债
SGP,MSCI新指
SGP_S,MSCI新指S
TF_S,20号标胶S
ID,摩根印尼指数
UC_S,USD/CNH期货S
FEF_S,TSI铁矿石S
RBF,上海螺纹钢(美元)
JB_S,小型日债S
NK_S,日经225S
MUC,微型USD/CNH期货
NS,迷你日经平均225
IU,印度卢比/美元
TD,台币/美元期货
FCH,富时中国H50指数
TWN,FTSE台指
AJRT,富时亚洲（除日本）房托指数
SRT,新加坡房托领先指数
RBF_S,上海螺纹钢(美元)S
UC_C,USD/CNH看涨
UC_P,USD/CNH看跌
GDF,台湾黄金期货
T-NY,元大台湾50ETF
T-CA,南亚
T-CB,中钢
T-CC,联电
T-CD,台积电
T-CE,富邦金
T-CF,台塑
T-CG,仁宝
T-CH,友达
T-CJ,华南金
T-CK,国泰金
T-CL,兆丰金
T-CM,台新金
T-CN,中信金
T-CQ,统一
T-CR,远东新
T-CS,华新
T-CU,中环
T-CW,佳世达
T-CX,大同
T-CY,南亚科
T-CZ,长荣
T-DC,彰银
T-DD,新光金
T-DE,永丰金
T-DF,台泥
T-DG,台化
T-DH,鸿海
T-DI,旺宏电子
T-DJ,华硕
T-DK,广达
T-DL,中华电
T-DN,玉山金
T-DO,元大金
T-DP,第一金
T-DQ,群创
T-DS,宏碁
T-DV,联发科
T-DW,润泰全
T-DX,纬创
T-DY,亚泥
T-DZ,大成
T-EE,国乔
T-EG,中石化
T-EH,东阳
T-EM,东元
T-EP,亚德客-KY
T-EY,中纤
T-FF,上银
T-FG,川湖
T-FK,正新
T-FQ,光宝科
T-FR,台达电
T-FT,华通
T-FV,精英
T-FW,友讯
T-FY,光磊
T-FZ,华邦电
T-GA,联强
T-GC,鸿准
T-GH,技嘉
T-GI,微星
T-GJ,瑞昱
T-GL,正崴
T-GM,亿光
T-GN,凌阳
T-GO,汉唐
T-GR,京元电子
T-GU,全新
T-GW,义隆
T-GX,可成
T-GZ,兆赫
T-HA,瑞轩
T-HB,华新科技
T-HC,宏达电
T-HH,中工
T-II,晶豪科
T-IJ,大立光
T-IO,联咏
T-IP,智原
T-JB,创意
T-JF,嘉泽
T-KC,力成
T-KD,同欣电
T-KF,康舒
T-KG,启碁
T-LB,健鼎
T-LM,美利达
